name,trial,a,b,rating,rt_ms,ts,strategy
Crafty Turtle,37,4,1,5,2053,2026-09-08T18:26:45.894+00:00,mixed
Crafty Turtle,38,7,8,4,1307,2026-09-08T18:26:47.466+00:00,mixed
Crafty Turtle,39,1,5,5,2135,2026-09-08T18:26:49.766+00:00,mixed
Crafty Turtle,40,7,1,5,1508,2026-09-08T18:26:51.503+00:00,mixed
Crafty Turtle,41,0,4,2,4102,2026-09-08T18:26:55.857+00:00,mixed
Crafty Turtle,42,5,1,3,1555,2026-09-08T18:26:57.620+00:00,mixed
Crafty Turtle,43,0,6,5,1858,2026-09-08T18:26:59.702+00:00,mixed
Crafty Turtle,44,3,4,3,1520,2026-09-08T18:27:01.452+00:00,mixed
Crafty Turtle,45,5,4,4,1637,2026-09-08T18:27:03.316+00:00,mixed
Crafty Turtle,46,9,5,5,1788,2026-09-08T18:27:05.332+00:00,mixed
Crafty Turtle,47,2,4,4,1991,2026-09-08T18:27:07.553+00:00,mixed
Crafty Turtle,48,8,6,6,1735,2026-09-08T18:27:09.518+00:00,mixed
Crafty Turtle,49,1,6,2,1271,2026-09-08T18:27:11.074+00:00,mixed
Crafty Turtle,50,9,6,7,2072,2026-09-08T18:27:13.316+00:00,mixed
Crafty Turtle,51,1,9,2,1807,2026-09-08T18:27:15.352+00:00,mixed
Crafty Turtle,52,8,0,6,1852,2026-09-08T18:27:17.434+00:00,mixed
Crafty Turtle,53,0,3,5,1391,2026-09-08T18:27:19.051+00:00,mixed
Crafty Turtle,54,2,9,3,3052,2026-09-08T18:27:22.332+00:00,mixed
Crafty Turtle,55,0,5,2,3071,2026-09-08T18:27:25.633+00:00,mixed
Crafty Turtle,56,2,3,5,1523,2026-09-08T18:27:27.384+00:00,mixed
Crafty Turtle,57,9,7,4,1320,2026-09-08T18:27:28.933+00:00,mixed
Crafty Turtle,58,8,4,3,1371,2026-09-08T18:27:30.535+00:00,mixed
Crafty Turtle,59,0,8,6,2770,2026-09-08T18:27:33.614+00:00,mixed
Crafty Turtle,60,2,8,6,1355,2026-09-08T18:27:35.200+00:00,mixed
Crafty Turtle,61,5,2,6,1973,2026-09-08T18:27:37.320+00:00,mixed
Crafty Turtle,62,3,5,4,2486,2026-09-08T18:27:40.032+00:00,mixed
Crafty Turtle,63,9,1,2,1522,2026-09-08T18:27:41.782+00:00,mixed
Crafty Turtle,64,7,6,2,1773,2026-09-08T18:27:43.787+00:00,mixed
Crafty Turtle,65,3,7,2,1555,2026-09-08T18:27:45.561+00:00,mixed
Crafty Turtle,66,7,5,4,1492,2026-09-08T18:27:47.284+00:00,mixed
Crafty Turtle,67,4,3,3,1322,2026-09-08T18:27:48.836+00:00,mixed
Crafty Turtle,68,6,7,3,2253,2026-09-08T18:27:51.316+00:00,mixed
Crafty Turtle,69,9,4,4,2438,2026-09-08T18:27:54.070+00:00,mixed
Crafty Turtle,70,3,2,5,2004,2026-09-08T18:27:56.215+00:00,mixed
Crafty Turtle,71,7,0,3,1521,2026-09-08T18:27:57.965+00:00,mixed
Crafty Turtle,72,4,8,3,1939,2026-09-08T18:28:00.131+00:00,mixed
Crafty Turtle,73,0,1,4,1824,2026-09-08T18:28:02.182+00:00,mixed
Crafty Turtle,74,5,9,5,2141,2026-09-08T18:28:04.560+00:00,mixed
Crafty Turtle,75,1,0,4,3172,2026-09-08T18:28:07.950+00:00,mixed
Crafty Turtle,76,8,1,2,1637,2026-09-08T18:28:09.816+00:00,mixed
Crafty Turtle,77,6,0,5,1672,2026-09-08T18:28:11.715+00:00,mixed
Crafty Turtle,78,1,7,6,2460,2026-09-08T18:28:14.405+00:00,mixed
Crafty Turtle,79,4,2,3,2665,2026-09-08T18:28:17.298+00:00,mixed
Crafty Turtle,80,2,0,2,1355,2026-09-08T18:28:18.885+00:00,mixed
Crafty Turtle,81,4,5,3,2189,2026-09-08T18:28:21.349+00:00,mixed
Crafty Turtle,82,8,2,4,2053,2026-09-08T18:28:23.583+00:00,mixed
Crafty Turtle,83,9,3,3,1738,2026-09-08T18:28:25.548+00:00,mixed
Crafty Turtle,84,2,5,4,2189,2026-09-08T18:28:27.967+00:00,mixed
Crafty Turtle,85,4,9,3,1756,2026-09-08T18:28:29.952+00:00,mixed
Crafty Turtle,86,1,4,5,2304,2026-09-08T18:28:32.485+00:00,mixed
Crafty Turtle,87,4,7,5,1903,2026-09-08T18:28:34.617+00:00,mixed
Crafty Turtle,88,6,5,5,1938,2026-09-08T18:28:36.786+00:00,mixed
Crafty Turtle,89,8,3,5,1340,2026-09-08T18:28:38.354+00:00,mixed
Crafty Turtle,90,3,8,5,1839,2026-09-08T18:28:40.419+00:00,mixed
Eager Lynx,1,8,4,1,1716,2026-09-08T18:24:52.903+00:00,shape
Eager Lynx,2,0,2,2,2511,2026-09-08T18:24:55.587+00:00,shape
Eager Lynx,3,9,5,5,2344,2026-09-08T18:24:58.147+00:00,shape
Eager Lynx,4,9,8,5,2894,2026-09-08T18:25:01.293+00:00,shape
Eager Lynx,5,5,6,6,2310,2026-09-08T18:25:03.798+00:00,shape
Eager Lynx,6,9,0,6,2211,2026-09-08T18:25:06.235+00:00,shape
Eager Lynx,7,8,3,6,2729,2026-09-08T18:25:09.178+00:00,shape
Eager Lynx,8,0,9,6,1844,2026-09-08T18:25:11.259+00:00,shape
Eager Lynx,9,0,7,2,1961,2026-09-08T18:25:13.433+00:00,shape
Eager Lynx,10,0,6,6,2761,2026-09-08T18:25:16.414+00:00,shape
Eager Lynx,11,5,4,5,2110,2026-09-08T18:25:18.745+00:00,shape
Eager Lynx,12,2,1,4,1677,2026-09-08T18:25:20.649+00:00,shape
Eager Lynx,13,3,6,6,2694,2026-09-08T18:25:23.570+00:00,shape
Eager Lynx,14,6,7,2,3745,2026-09-08T18:25:27.535+00:00,shape
Eager Lynx,15,5,1,2,3161,2026-09-08T18:25:30.910+00:00,shape
Eager Lynx,16,1,7,6,4412,2026-09-08T18:25:35.555+00:00,shape
Eager Lynx,17,6,8,6,2378,2026-09-08T18:25:38.147+00:00,shape
Eager Lynx,18,3,8,6,2560,2026-09-08T18:25:40.932+00:00,shape
Eager Lynx,19,4,5,4,3861,2026-09-08T18:25:45.070+00:00,shape
Eager Lynx,20,2,8,6,2911,2026-09-08T18:25:48.260+00:00,shape
Eager Lynx,21,7,2,5,3511,2026-09-08T18:25:51.884+00:00,shape
Eager Lynx,22,1,3,6,1894,2026-09-08T18:25:53.998+00:00,shape
Eager Lynx,23,3,2,5,1361,2026-09-08T18:25:55.583+00:00,shape
Eager Lynx,24,2,9,5,3328,2026-09-08T18:25:59.132+00:00,shape
Eager Lynx,25,6,3,5,3078,2026-09-08T18:26:02.428+00:00,shape
Eager Lynx,26,5,8,6,2510,2026-09-08T18:26:05.165+00:00,shape
Eager Lynx,27,7,9,5,3227,2026-09-08T18:26:08.663+00:00,shape
Eager Lynx,28,7,3,3,2278,2026-09-08T18:26:11.111+00:00,shape
Eager Lynx,29,1,2,3,2810,2026-09-08T18:26:14.154+00:00,shape
Eager Lynx,30,6,1,1,2927,2026-09-08T18:26:17.298+00:00,shape
Eager Lynx,31,4,3,5,2594,2026-09-08T18:26:20.114+00:00,shape
Eager Lynx,32,1,4,6,1777,2026-09-08T18:26:22.112+00:00,shape
Eager Lynx,33,6,4,2,994,2026-09-08T18:26:23.346+00:00,shape
Eager Lynx,34,8,1,6,2011,2026-09-08T18:26:25.569+00:00,shape
Eager Lynx,35,3,9,5,1161,2026-09-08T18:26:27.016+00:00,shape
Eager Lynx,36,9,6,3,1194,2026-09-08T18:26:28.369+00:00,shape
Eager Lynx,37,4,8,4,977,2026-09-08T18:26:29.561+00:00,shape
Eager Lynx,38,9,7,2,944,2026-09-08T18:26:30.727+00:00,shape
Eager Lynx,39,8,0,5,794,2026-09-08T18:26:31.744+00:00,shape
Eager Lynx,40,4,6,6,2528,2026-09-08T18:26:34.503+00:00,shape
Eager Lynx,41,9,2,6,1477,2026-09-08T18:26:36.204+00:00,shape
Eager Lynx,42,8,5,3,960,2026-09-08T18:26:37.378+00:00,shape
Eager Lynx,43,2,4,2,694,2026-09-08T18:26:38.302+00:00,shape
Eager Lynx,44,7,0,5,1061,2026-09-08T18:26:39.601+00:00,shape
Eager Lynx,45,1,6,6,644,2026-09-08T18:26:40.444+00:00,shape
Eager Lynx,46,3,7,2,1678,2026-09-08T18:26:42.353+00:00,shape
Eager Lynx,47,5,2,6,694,2026-09-08T18:26:43.270+00:00,shape
Eager Lynx,48,4,7,5,844,2026-09-08T18:26:44.333+00:00,shape
Eager Lynx,49,2,7,3,844,2026-09-08T18:26:45.403+00:00,shape
Eager Lynx,50,9,3,6,844,2026-09-08T18:26:46.465+00:00,shape
Eager Lynx,51,3,4,2,727,2026-09-08T18:26:47.465+00:00,shape
Eager Lynx,52,9,1,6,627,2026-09-08T18:26:48.260+00:00,shape
Eager Lynx,53,0,4,5,694,2026-09-08T18:26:49.185+00:00,shape
Eager Lynx,54,6,9,4,511,2026-09-08T18:26:49.911+00:00,shape
Eager Lynx,55,0,5,4,1527,2026-09-08T18:26:51.663+00:00,shape
Eager Lynx,56,8,6,6,5594,2026-09-08T18:26:57.483+00:00,shape
Eager Lynx,57,5,0,5,1261,2026-09-08T18:26:59.202+00:00,shape
Eager Lynx,58,7,6,4,1827,2026-09-08T18:27:01.104+00:00,shape
Eager Lynx,59,9,4,5,4527,2026-09-08T18:27:05.826+00:00,shape
Eager Lynx,60,1,9,6,1011,2026-09-08T18:27:06.998+00:00,shape
Eager Lynx,61,0,8,5,1161,2026-09-08T18:27:08.492+00:00,shape
Eager Lynx,62,4,2,5,4627,2026-09-08T18:27:13.230+00:00,shape
Eager Lynx,63,3,1,3,1527,2026-09-08T18:27:14.979+00:00,shape
Eager Lynx,64,7,5,3,1644,2026-09-08T18:27:16.847+00:00,shape
Eager Lynx,65,1,0,6,5894,2026-09-08T18:27:22.963+00:00,shape
Eager Lynx,66,5,7,5,662,2026-09-08T18:27:23.844+00:00,shape
Eager Lynx,67,4,9,4,1011,2026-09-08T18:27:25.080+00:00,shape
Eager Lynx,68,7,4,5,677,2026-09-08T18:27:25.986+00:00,shape
Eager Lynx,69,5,3,3,2127,2026-09-08T18:27:28.373+00:00,shape
Eager Lynx,70,3,5,5,710,2026-09-08T18:27:29.264+00:00,shape
Eager Lynx,71,6,2,6,545,2026-09-08T18:27:30.032+00:00,shape
Eager Lynx,72,5,9,3,1144,2026-09-08T18:27:31.396+00:00,shape
Eager Lynx,73,4,1,4,1560,2026-09-08T18:27:33.181+00:00,shape
Eager Lynx,74,2,6,5,728,2026-09-08T18:27:34.144+00:00,shape
Eager Lynx,75,8,2,5,1778,2026-09-08T18:27:36.127+00:00,shape
Eager Lynx,76,3,0,3,1027,2026-09-08T18:27:37.380+00:00,shape
Eager Lynx,77,4,0,4,545,2026-09-08T18:27:38.144+00:00,shape
Eager Lynx,78,2,5,5,544,2026-09-08T18:27:38.909+00:00,shape
Eager Lynx,79,1,8,6,479,2026-09-08T18:27:39.614+00:00,shape
Eager Lynx,80,0,3,2,2361,2026-09-08T18:27:42.197+00:00,shape
Eager Lynx,81,2,3,5,1829,2026-09-08T18:27:44.244+00:00,shape
Eager Lynx,82,6,5,6,444,2026-09-08T18:27:44.913+00:00,shape
Eager Lynx,83,1,5,5,1810,2026-09-08T18:27:46.947+00:00,shape
Eager Lynx,84,6,0,4,461,2026-09-08T18:27:47.627+00:00,shape
Eager Lynx,85,2,0,3,294,2026-09-08T18:27:48.143+00:00,shape
Eager Lynx,86,8,7,6,878,2026-09-08T18:27:49.251+00:00,shape
Eager Lynx,87,0,1,6,595,2026-09-08T18:27:50.066+00:00,shape
Eager Lynx,88,7,1,6,627,2026-09-08T18:27:50.920+00:00,shape
Eager Lynx,89,7,8,6,494,2026-09-08T18:27:51.635+00:00,shape
Eager Lynx,90,8,9,6,662,2026-09-08T18:27:52.512+00:00,shape
Fancy Falcon,1,5,6,7,9283,2026-09-08T18:25:33.668+00:00,mixed
Fancy Falcon,2,6,3,2,2944,2026-09-08T18:25:36.781+00:00,mixed
Fancy Falcon,3,9,0,5,2427,2026-09-08T18:25:39.430+00:00,mixed
Fancy Falcon,4,7,1,4,3594,2026-09-08T18:25:43.247+00:00,mixed
Fancy Falcon,5,7,0,2,1942,2026-09-08T18:25:45.486+00:00,mixed
Fancy Falcon,6,7,6,2,3414,2026-09-08T18:25:49.064+00:00,mixed
Fancy Falcon,7,0,2,3,2542,2026-09-08T18:25:51.884+00:00,mixed
Fancy Falcon,8,7,9,6,7011,2026-09-08T18:25:59.049+00:00,mixed
Fancy Falcon,9,3,1,6,10961,2026-09-08T18:26:10.242+00:00,mixed
Fancy Falcon,10,2,5,5,1544,2026-09-08T18:26:11.996+00:00,mixed
Fancy Falcon,11,9,3,2,6744,2026-09-08T18:26:18.963+00:00,mixed
Fancy Falcon,12,1,4,5,1676,2026-09-08T18:26:20.862+00:00,mixed
Fancy Falcon,13,8,4,4,5661,2026-09-08T18:26:26.747+00:00,mixed
Fancy Falcon,14,5,9,3,2677,2026-09-08T18:26:29.647+00:00,mixed
Fancy Falcon,15,3,6,5,2444,2026-09-08T18:26:32.315+00:00,mixed
Fancy Falcon,16,2,8,2,2495,2026-09-08T18:26:35.030+00:00,mixed
Fancy Falcon,17,9,5,5,3760,2026-09-08T18:26:39.075+00:00,mixed
Fancy Falcon,18,3,9,2,3310,2026-09-08T18:26:42.545+00:00,mixed
Fancy Falcon,19,0,6,3,7228,2026-09-08T18:26:49.997+00:00,mixed
Fancy Falcon,20,1,8,2,1427,2026-09-08T18:26:51.664+00:00,mixed
Fancy Falcon,21,6,7,7,3827,2026-09-08T18:26:55.696+00:00,mixed
Fancy Falcon,22,3,4,7,1477,2026-09-08T18:26:57.439+00:00,mixed
Fancy Falcon,23,5,0,3,5911,2026-09-08T18:27:03.529+00:00,mixed
Fancy Falcon,24,4,0,4,1728,2026-09-08T18:27:05.481+00:00,mixed
Fancy Falcon,25,8,7,7,2462,2026-09-08T18:27:08.163+00:00,mixed
Fancy Falcon,26,8,0,2,1693,2026-09-08T18:27:10.078+00:00,mixed
Fancy Falcon,27,5,1,3,6811,2026-09-08T18:27:17.113+00:00,mixed
Fancy Falcon,28,0,8,1,3277,2026-09-08T18:27:20.612+00:00,mixed
Fancy Falcon,29,1,7,2,2393,2026-09-08T18:27:23.229+00:00,mixed
Fancy Falcon,30,5,4,7,3243,2026-09-08T18:27:26.698+00:00,mixed
Fancy Falcon,31,1,0,7,1044,2026-09-08T18:27:27.965+00:00,mixed
Fancy Falcon,32,8,5,5,3444,2026-09-08T18:27:31.632+00:00,mixed
Fancy Falcon,33,2,7,3,1860,2026-09-08T18:27:33.711+00:00,mixed
Fancy Falcon,34,3,5,6,1261,2026-09-08T18:27:35.197+00:00,mixed
Fancy Falcon,35,9,1,1,1411,2026-09-08T18:27:36.829+00:00,mixed
Fancy Falcon,36,0,3,5,1194,2026-09-08T18:27:38.246+00:00,mixed
Fancy Falcon,37,7,2,3,1878,2026-09-08T18:27:40.347+00:00,mixed
Fancy Falcon,38,0,1,7,2876,2026-09-08T18:27:43.445+00:00,mixed
Fancy Falcon,39,2,6,4,2861,2026-09-08T18:27:46.528+00:00,mixed
Fancy Falcon,40,6,4,6,1460,2026-09-08T18:27:48.212+00:00,mixed
Fancy Falcon,41,3,0,5,927,2026-09-08T18:27:49.361+00:00,mixed
Fancy Falcon,42,5,3,6,1478,2026-09-08T18:27:51.063+00:00,mixed
Fancy Falcon,43,6,0,3,1394,2026-09-08T18:27:52.679+00:00,mixed
Fancy Falcon,44,7,5,5,977,2026-09-08T18:27:53.878+00:00,mixed
Fancy Falcon,45,2,3,7,2010,2026-09-08T18:27:56.172+00:00,mixed
Fancy Falcon,46,2,9,2,2144,2026-09-08T18:27:58.785+00:00,mixed
Fancy Falcon,47,3,7,5,1194,2026-09-08T18:27:59.898+00:00,mixed
Fancy Falcon,48,8,6,6,3946,2026-09-08T18:28:04.066+00:00,mixed
Fancy Falcon,49,9,6,4,1725,2026-09-08T18:28:06.011+00:00,mixed
Fancy Falcon,50,2,0,6,1695,2026-09-08T18:28:07.929+00:00,mixed
Fancy Falcon,51,8,2,3,2612,2026-09-08T18:28:10.763+00:00,mixed
Fancy Falcon,52,0,9,1,1627,2026-09-08T18:28:12.613+00:00,mixed
Fancy Falcon,53,6,1,3,3878,2026-09-08T18:28:16.712+00:00,mixed
Fancy Falcon,54,4,8,5,1677,2026-09-08T18:28:18.617+00:00,mixed
Fancy Falcon,55,9,8,7,3211,2026-09-08T18:28:22.048+00:00,mixed
Fancy Falcon,56,1,3,6,1095,2026-09-08T18:28:23.450+00:00,mixed
